,ID,Name,FoodPreference,Age,Sex,Kitchen,Kitchen_Story,Kitchen_Longitude,Kitchen_Latitude,ID_2,Name_2,Age_2,Sex_2
160,9ea12276-1477-44f3-ba5e-7ea316cf51bf,Person161,veggie,26,male,yes,,8.696563125142836,50.606945025142835,,,,
161,9f5933bf-991c-429a-9fff-290d1fd5dad3,Person162,none,24,male,maybe,1.0,8.692939021612922,50.592228121612926,,,,
162,9f5c74f1-f575-4d1d-9a2f-2102ce0e5231,Person163,none,23,female,no,,,,,,,
163,a0274d48-f318-437d-acf0-d0bbd79e6c0b,Person164,veggie,22,female,no,2.0,,,,,,
164,a0e1e072-c01b-4b51-a78e-4b6bb44e2d9c,Person165,none,24,male,no,,,,,,,
165,a90aa722-b713-489b-949b-fa9ce0973aff,Person166,none,31,male,yes,1.0,8.66277111322317,50.578817813223175,,,,
166,ac242b63-b24b-48a1-9d1b-9079c1516827,Person167,veggie,22,female,no,2.0,,,,,,
167,ad30bd5a-a9cb-4f2a-a34d-ef441e16b4cb,Person168,none,20,female,no,4.0,,,,,,
168,add12b65-6042-4a5c-a436-a9b63f14a938,Person169,none,32,male,maybe,,8.67353055827551,50.59210195827551,,,,
169,ae496f33-0b23-4edf-bbfa-1fe0bd17e0aa,Person170,veggie,26,male,no,1.0,,,,,,
170,aea6006e-fe1d-4ec1-8114-a939be107920,Person171,meat,28,female,yes,1.0,8.669497129724807,50.582843329724795,e1c62091-6cbe-4a6e-a9f9-e8e655d78c96,Personx66,29.0,female
171,afa3ede4-d574-4d40-b38c-8cdaa2b35c57,Person172,veggie,23,female,no,,,,,,,
172,b029697b-1948-4157-8985-f65535835f1c,Person173,none,27,female,no,2.0,,,,,,
173,b08a0c1b-94b0-48d7-b17f-afa0e70dd30c,Person174,meat,32,male,no,,,,,,,
174,b139bd3a-df86-4a85-9dea-a522c178aafd,Person175,vegan,25,female,no,4.0,,,,,,
175,b1e5f448-5cae-4eea-a11a-6b96fec5ca19,Person176,vegan,25,female,yes,4.0,8.676798741197352,50.58160214119735,ed435b8f-85e4-4b3a-a449-79897d165bf6,Personx67,25.0,female
176,b1fb61c9-1a7a-4418-9eea-9d91a8c9e0dc,Person177,none,22,female,yes,1.0,8.673930215187932,50.59469021518793,fc200533-954e-4bde-82cb-0645c49a2311,Personx68,23.0,female
177,b3092fb5-4038-4095-b721-8294d3803717,Person178,veggie,25,female,no,2.0,,,,,,
178,b347562e-3a88-4221-9819-ddebf46c7b52,Person179,vegan,23,female,no,1.0,,,,,,
179,b438f89e-a469-49cb-a0f4-9bd88b22b2d0,Person180,veggie,22,female,yes,1.0,8.692885345053302,50.587227745053305,eb8268a5-27e5-4559-b2a7-e2a1da63a4ff,Personx69,25.0,male
180,b6321277-b8d2-4cad-9049-807817d769a8,Person181,none,26,male,yes,2.0,8.672899467150245,50.58217946715025,,,,
